text,final_label
Language Education in the Time of COVID-19,False
COVID-19 Test Kits,False
COVID 19 IN PRISON,False
Get Waled Home,False
Make pass/fail available for Mississippi State Students for the 2020-2021 academic year.,False
Governor Doug Burgum to Issue Mandatory Shelter-in-Place Order,False
Early release due to covid 19,False
Medical professionals need protection and gear to fight Covid 19 !,True
"Save Gilroy Recreation - Theater, Aquatics, Preschool, etc.",False
Class of 2020 to get their certification,False
Calling for Disability- Inclusive Response to Covid-19 Pandemic in the Philippines,False
Open the 2020-2021 School Year Traditionally in Shasta County,False
Save the Enhanced Nursery School Operating Grant!! Say NO to Proposed Amendment to Regs!,False
Cancel the STAAR test for the 2020/2021 school year,False
Justice For Dr. Susan Moore,False
Extend Winter Break for Brock Students,False
Get American crew members home!,False
RAISE PSW WAGES TO $25​.​00/HOUR,False
COVID-19  Dance Studio Industry Economic Hardship,False
Support More Testing for Covid,False
UBC Partial Tuition Refund,False
Close China’s wet market permanently,False
#SaveOurYouth,False
Tuition Adjustments Due to COVID-19,False
Ensure Education. STOP HIKE in School Fee for 2020-2021 #COVID-19,False
Cancel 10th Gujarat Board Exams,False
Cancellation of all University assignments and exams due to instability caused by COVID-19,False
NEU- CLOSE CAMPUS AND START ONLINE TEACHING,False
NOW reinstate all facial treatments from behind and to the side of the face.,False
Equestrian Riding relief,False
UWC must call off university!,False
Cancel Okanagan college  Classes due to COVID-19,False
Request To Have the Option to Make WFU Spring 2020 Classes Pass/Fail Due to COVID-19,False
Stop tourism to the Isle of Wight during the Covid 19 outbreak,False
No profit on Covid-19!,False
Cancel rent payments for international students during Covid 19,False
Tuition and Fee Refund for Campus Services Not Provided Due to COVID-19,False
SE PODRÍAN HABER EVITADO LAS MUERTES POR COVID-19 EN TODO EL MUNDO,False
Make Regis University close its doors now.,False
Post Natal Massage Service as Essential Services,False
Cancellation of RTU Final Semester Examination,False
HPU MUST Allow Housing/Dining Refunds if COVID-19 Impacts Fall 2020 Semester,False
"20 per studio classroom, rather than 20 per premises - if deemed safe.",False
VicRoads refund rego and TAC charged during covid restrictions.,False
"Grant emergency Bond due to the global pandemic of COVID-19, for Qamar Williams / Q money",False
Create a Covid-19 relief package for informal waste pickers of Delhi,False
Take proactive action to mitigate COVID19 in Ethiopia,False
Stellenbosch University to Implement Online Examinations,False
No Schools Till Corona Ends...,False
Recreation Boating During Stay At Home,False
Chancellor Carranza - Don't Take Counselors Away From Students in the South Bronx,False
UK Legalisation & Taxation of Recreational Cannabis to help fund COVID-19 aftermath,False
COVID-19 - Free streaming services for quarantine,False
Help stop the deportation of the Ferreira family during a global pandemic.,False
Make masks mandatory for public settings in the Region of Waterloo.,False
Pay Health Care Students On Placement,False
Support private nurseries through Covid-19,False
cancel school due to the water boil order and COVID 19,False
A Twin Crisis- Gentrification & Covid Destroying Black Business In Harlem,False
Extend the Winter Break at UFV,False
TAX RELIEF FOR NEW JERSEY RESTAURANTS & SMALL BUSINESSES FROM SHUTDOWN DURING COVID-19,False
Orange County Schools Must Follow CA State Guidelines For Re-Opening,False
Cuomo and de Blasio Must Close all school buildings in NYC NOW!,False
Why final year exams shoudn't be Conducted #promote final year students,False
Offer Unconditional Citizenship to ALL non-British NHS Workers,False
We Must Ensure The Safety of Our Children,False
Riconosciamo alla Scuola il suo ruolo di tutela della Salute biopsicosociale,False
Yarra Valley should be classified as rural for Covid-19 restrictions purposes,False
Suspend Rent & Mortgage in Connecticut during COVID-19,False
NYC TRANSIT WORKERS DESERVE HAZARD PAY,False
Covid-19 Safety for Dental Practitioners and Patients in Colorado,False
Call for Peter Weir to resign,False
Temporarily Force Close Restaurants in the U​.​S to stop the spread of Covid-19,False
Covid-19 Pandemic Unemployment Payment for Cross Border Workers,False
Seek Justice for Brutal Massacre of 5 Afro-Colombian Teenagers,False
Ban the Use of Tear Gas on Peaceful Civilians & Protestors,False
COVID-19 : Guarantee people's heat and power,False
Create a COVID-19 testing spot on South Campus,False
Protest Against Covid Return Travellers at Tamworth NSW Australia,False
Close Humber College (COVID-19 / Coronavirus),False
